ResponseId,LanguageWantToWorkWith
203,Java
203,JavaScript
203,Kotlin
203,PHP
204,C#
204,Crystal
204,Elixir
204,Haskell
204,Nim
204,Rust
204,Scala
204,TypeScript
205,Clojure
205,Haskell
205,HTML/CSS
205,JavaScript
205,Lua
205,Python
205,Rust
205,SQL
205,TypeScript
206,Python
206,R
206,SQL
207,PHP
208,Bash/Shell (all shells)
208,Go
208,HTML/CSS
208,PowerShell
208,TypeScript
209,JavaScript
209,Rust
210,Go
210,HTML/CSS
210,JavaScript
210,Python
210,SQL
211,Bash/Shell (all shells)
211,JavaScript
211,Python
212,Go
212,JavaScript
212,PHP
212,SQL
213,C
213,C++
213,Go
213,Python
213,SQL
214,F#
215,Elixir
215,Go
215,JavaScript
215,Kotlin
215,TypeScript
216,C#
216,SQL
216,TypeScript
217,HTML/CSS
217,JavaScript
218,C#
218,Solidity
218,TypeScript
219,C#
219,F#
219,Kotlin
220,C++
220,Go
220,HTML/CSS
220,JavaScript
220,Python
220,TypeScript
221,C
221,C++
221,Java
221,Kotlin
221,MATLAB
221,SQL
222,Go
222,PowerShell
222,Python
222,Rust
223,Bash/Shell (all shells)
223,C++
223,JavaScript
223,Python
223,SQL
223,TypeScript
224,Bash/Shell (all shells)
224,HTML/CSS
224,Java
224,JavaScript
224,Kotlin
224,Rust
224,SQL
225,Swift
226,Bash/Shell (all shells)
226,Go
226,HTML/CSS
226,TypeScript
227,C#
227,HTML/CSS
228,Java
228,Python
229,C
229,C#
229,C++
229,Python
229,Rust
230,TypeScript
231,Bash/Shell (all shells)
231,Python
231,Rust
231,SQL
233,Java
233,Julia
233,SQL
234,Dart
234,JavaScript
235,Bash/Shell (all shells)
235,Go
235,Java
235,JavaScript
235,Rust
235,SQL
235,TypeScript
236,Delphi
237,Assembly
237,C
237,C++
237,Go
237,Java
237,Python
237,R
237,Rust
237,Scala
237,SQL
237,TypeScript
238,C#
238,HTML/CSS
238,JavaScript
238,SQL
238,TypeScript
239,HTML/CSS
239,JavaScript
239,Ruby
239,SQL
239,TypeScript
240,C#
240,Dart
240,Kotlin
240,R
240,Swift
241,HTML/CSS
241,JavaScript
241,PHP
242,JavaScript
242,PHP
242,SQL
243,Bash/Shell (all shells)
243,C
243,HTML/CSS
243,Java
243,JavaScript
243,PHP
243,PowerShell
243,Python
243,SQL
243,TypeScript
244,Java
244,SQL
245,Python
245,Rust
247,C
247,JavaScript
247,PHP
247,Rust
248,Assembly
248,Bash/Shell (all shells)
248,C
248,C#
248,C++
248,HTML/CSS
248,Java
248,JavaScript
248,Perl
248,Ruby
248,SQL
248,TypeScript
249,C#
249,PowerShell
249,SQL
250,Bash/Shell (all shells)
250,C++
250,Go
252,Bash/Shell (all shells)
252,C
252,Julia
252,MATLAB
252,Python
252,Rust
253,Bash/Shell (all shells)
253,C
253,Go
253,Lisp
253,Python
254,C#
254,HTML/CSS
254,JavaScript
254,PowerShell
254,SQL
254,TypeScript
255,Bash/Shell (all shells)
255,HTML/CSS
255,JavaScript
255,SQL
255,TypeScript
256,Bash/Shell (all shells)
256,Go
256,Python
256,Rust
257,Bash/Shell (all shells)
257,Java
257,JavaScript
257,PHP
257,SQL
257,TypeScript
258,GDScript
258,Go
258,Lua
258,Python
258,Zig
260,Swift
261,Rust
262,HTML/CSS
262,TypeScript
263,Bash/Shell (all shells)
263,C
263,C#
263,Dart
263,HTML/CSS
263,JavaScript
263,PHP
263,PowerShell
263,Python
263,Rust
263,SQL
263,TypeScript
264,HTML/CSS
264,JavaScript
264,Ruby
264,SQL
265,Elixir
265,Go
265,Python
265,SQL
265,TypeScript
266,C
266,C#
266,Go
266,Python
266,Rust
267,C#
267,PHP
267,SQL
269,HTML/CSS
269,JavaScript
269,Lisp
270,C#
270,C++
270,HTML/CSS
270,JavaScript
270,Python
270,TypeScript
271,Go
271,Rust
271,SQL
271,TypeScript
272,Java
272,JavaScript
272,Python
272,TypeScript
273,SQL
273,TypeScript
274,C#
274,Java
274,PowerShell
274,Python
274,Rust
275,SQL
275,TypeScript
276,C#
276,JavaScript
276,PowerShell
276,SQL
276,TypeScript
277,Bash/Shell (all shells)
277,C
277,Dart
277,Java
277,Lua
277,Python
278,Kotlin
278,Python
278,Rust
279,HTML/CSS
279,JavaScript
280,C#
280,HTML/CSS
280,Java
280,JavaScript
280,Kotlin
280,Python
280,SQL
281,Bash/Shell (all shells)
281,C#
281,Python
281,SQL
282,HTML/CSS
282,Java
282,JavaScript
283,Assembly
283,Bash/Shell (all shells)
283,C
283,Elixir
283,Go
283,Haskell
283,Lua
283,Python
283,Rust
283,TypeScript
283,Zig
284,Elixir
284,Go
284,HTML/CSS
284,Lua
284,Python
284,Rust
284,SQL
284,TypeScript
284,Zig
285,Go
285,HTML/CSS
285,JavaScript
285,Python
285,Rust
285,SQL
285,TypeScript
286,Python
287,Kotlin
288,Go
288,Rust
288,Zig
290,Bash/Shell (all shells)
290,C#
290,Java
290,Python
291,C
291,C++
291,Objective-C
291,PHP
291,Python
291,Swift
291,TypeScript
292,JavaScript
292,PHP
292,PowerShell
292,Python
292,R
292,Rust
292,SQL
292,TypeScript
293,Bash/Shell (all shells)
293,Perl
293,Python
293,SQL
294,Python
294,TypeScript
295,HTML/CSS
295,JavaScript
295,PHP
296,Assembly
296,C++
296,PHP
296,Rust
296,Solidity
296,SQL
296,TypeScript
297,Python
298,C++
299,C
299,C++
299,Python
300,C#
300,HTML/CSS
300,JavaScript
300,PHP
300,Python
300,SQL
301,C
301,Go
301,Ruby
302,Assembly
302,Bash/Shell (all shells)
302,C++
302,Lua
302,Ruby
302,SQL
302,Zig
303,C++
303,Go
304,Bash/Shell (all shells)
304,Go
304,Groovy
304,Java
305,Assembly
305,C
305,Rust
306,Bash/Shell (all shells)
306,Java
307,Bash/Shell (all shells)
307,Python
307,R
307,SQL
308,Bash/Shell (all shells)
308,C++
308,Erlang
308,GDScript
308,JavaScript
308,Python
308,Ruby
308,Rust
310,C
310,Python
310,Rust
311,Go
311,PHP
311,SQL
312,Java
312,JavaScript
312,SQL
313,Bash/Shell (all shells)
313,C++
313,Python
313,SQL
314,C#
314,TypeScript
315,Bash/Shell (all shells)
315,HTML/CSS
315,JavaScript
315,SQL
315,TypeScript
316,C
316,C#
316,C++
316,GDScript
316,Go
316,Rust
316,Zig
318,Go
318,JavaScript
318,Python
318,SQL
318,TypeScript
319,C#
320,JavaScript
320,Rust
320,TypeScript
321,C++
321,Elixir
321,Haskell
321,HTML/CSS
321,JavaScript
321,Lua
321,OCaml
321,Python
321,Rust
321,TypeScript
321,Zig
322,Clojure
322,Elixir
322,Python
322,Rust
322,SQL
323,Bash/Shell (all shells)
323,C#
323,C++
323,Dart
323,Go
323,HTML/CSS
323,JavaScript
323,Kotlin
323,PowerShell
323,SQL
323,TypeScript
324,Go
324,HTML/CSS
324,JavaScript
324,TypeScript
325,HTML/CSS
325,JavaScript
325,PHP
325,SQL
325,TypeScript
326,Elixir
326,HTML/CSS
326,JavaScript
326,PHP
327,Apex
327,C#
327,Java
327,JavaScript
327,Rust
327,SQL
328,Bash/Shell (all shells)
328,C#
328,Go
328,JavaScript
328,Python
328,SQL
329,Assembly
329,Bash/Shell (all shells)
329,C
329,C++
329,HTML/CSS
329,JavaScript
330,C++
330,HTML/CSS
330,JavaScript
330,Swift
330,TypeScript
331,Bash/Shell (all shells)
331,C#
331,HTML/CSS
331,Rust
331,SQL
331,TypeScript
332,C++
332,Java
332,Lua
332,Python
332,Rust
332,Zig
333,C#
333,Delphi
333,Go
333,SQL
334,C
334,C++
334,Elixir
334,Rust
334,Zig
335,Assembly
335,Bash/Shell (all shells)
335,C
335,C++
335,Go
335,Python
335,SQL
335,Zig
336,C#
336,PowerShell
336,Python
336,SQL
337,C
337,C++
337,HTML/CSS
337,JavaScript
337,Python
337,Rust
337,SQL
337,Zig
338,Bash/Shell (all shells)
338,C
338,HTML/CSS
338,JavaScript
338,PHP
338,Python
338,SQL
339,C
339,HTML/CSS
339,JavaScript
339,Perl
339,PHP
339,Python
339,SQL
339,TypeScript
340,C++
340,Haskell
340,Rust
341,HTML/CSS
341,JavaScript
341,PHP
341,Python
341,SQL
341,TypeScript
342,Bash/Shell (all shells)
342,C#
342,Crystal
342,Go
342,Java
342,Kotlin
342,Python
342,Rust
342,SQL
342,TypeScript
343,Dart
343,JavaScript
343,Kotlin
344,C#
344,C++
344,HTML/CSS
344,Java
344,JavaScript
344,Python
344,SQL
344,VBA
344,Visual Basic (.Net)
345,Scala
345,SQL
346,Dart
346,Go
346,Lua
346,Rust
347,Java
347,Python
347,SQL
348,Java
349,C++
349,Dart
349,Go
349,Lua
349,Zig
350,Bash/Shell (all shells)
350,Go
350,Python
350,SQL
351,Assembly
351,Bash/Shell (all shells)
351,C#
351,Go
351,HTML/CSS
351,MicroPython
351,PHP
351,Python
351,Rust
351,SQL
351,TypeScript
352,JavaScript
352,Solidity
352,TypeScript
353,C
353,C#
353,C++
353,HTML/CSS
353,JavaScript
353,PowerShell
353,Python
353,TypeScript
353,Visual Basic (.Net)
355,Bash/Shell (all shells)
355,Go
355,Groovy
355,Java
355,JavaScript
355,Kotlin
355,Python
355,SQL
355,TypeScript
357,Rust
357,Zephyr
358,C++
358,Clojure
358,Haskell
358,HTML/CSS
358,JavaScript
358,Lisp
358,Objective-C
358,Prolog
358,Python
358,Ruby
358,SQL
358,Swift
359,C#
359,C++
359,HTML/CSS
359,Java
359,JavaScript
359,PHP
359,Python
359,Ruby
359,Rust
359,Visual Basic (.Net)
360,C#
360,HTML/CSS
360,PowerShell
360,Python
360,Rust
360,SQL
360,TypeScript
361,C++
362,C++
362,MicroPython
362,Python
362,Rust
362,SQL
362,TypeScript
363,Go
364,C#
364,Go
364,JavaScript
364,Python
364,Rust
365,HTML/CSS
365,JavaScript
365,SQL
366,C
366,C#
366,C++
366,HTML/CSS
366,Java
366,JavaScript
366,PHP
366,Python
367,JavaScript
367,TypeScript
368,HTML/CSS
368,JavaScript
368,PHP
368,SQL
369,HTML/CSS
369,Java
369,JavaScript
369,TypeScript
370,Python
370,Rust
371,Go
371,HTML/CSS
371,JavaScript
371,SQL
371,TypeScript
372,Java
372,JavaScript
373,C#
373,Kotlin
373,Ruby
374,C#
374,SQL
375,C
375,C++
375,MATLAB
375,Python
375,SQL
376,C++
376,HTML/CSS
376,Java
376,JavaScript
376,Python
377,C#
377,Java
377,Lua
377,TypeScript
378,JavaScript
378,Ruby
379,C#
379,SQL
380,Go
380,JavaScript
380,Python
380,Rust
380,SQL
380,TypeScript
381,Elixir
382,Bash/Shell (all shells)
382,HTML/CSS
382,Perl
383,Go
383,Groovy
383,Java
383,Kotlin
383,SQL
384,Bash/Shell (all shells)
384,C
384,C++
384,HTML/CSS
384,Java
384,JavaScript
384,SQL
384,TypeScript
385,C#
385,F#
385,Go
385,HTML/CSS
385,PowerShell
385,Python
385,Rust
385,SQL
385,TypeScript
386,Python
386,Rust
386,Scala
387,Java
387,SQL
388,C#
388,HTML/CSS
388,Java
388,JavaScript
389,Python
389,Solidity
389,TypeScript
390,Go
390,Rust
390,Swift
391,HTML/CSS
391,JavaScript
391,Ruby
391,Rust
391,TypeScript
392,Bash/Shell (all shells)
392,Groovy
392,PowerShell
392,SQL
393,HTML/CSS
393,JavaScript
393,MicroPython
393,Python
393,TypeScript
394,C#
394,PowerShell
394,SQL
394,VBA
394,Visual Basic (.Net)
395,JavaScript
395,Python
395,TypeScript
396,Bash/Shell (all shells)
396,Go
396,HTML/CSS
396,Java
396,Kotlin
396,SQL
397,Go
397,HTML/CSS
397,JavaScript
397,Python
397,Rust
397,SQL
397,TypeScript
398,Java
398,PowerShell
398,Python
399,C#
399,HTML/CSS
399,JavaScript
399,SQL
399,TypeScript
400,Go
400,HTML/CSS
400,JavaScript
400,SQL
401,C++
401,HTML/CSS
401,JavaScript
401,TypeScript
403,Delphi
403,SQL
404,C++
405,Bash/Shell (all shells)
405,HTML/CSS
405,Java
405,JavaScript
405,Python
406,Go
406,JavaScript
406,PowerShell
406,Python
406,SQL
406,TypeScript
407,Bash/Shell (all shells)
407,C
407,C++
407,HTML/CSS
407,JavaScript
407,Python
407,Rust
407,SQL
407,TypeScript
408,Bash/Shell (all shells)
408,C
408,Go
408,HTML/CSS
408,Java
408,JavaScript
408,Kotlin
408,PowerShell
408,Python
408,SQL
408,TypeScript
409,Assembly
409,C++
409,Python
409,Rust
409,Swift
410,HTML/CSS
410,Python
410,SQL
411,Bash/Shell (all shells)
411,HTML/CSS
411,JavaScript
412,Bash/Shell (all shells)
412,C
412,C++
412,Dart
412,Delphi
412,HTML/CSS
412,Java
412,JavaScript
412,PHP
412,Python
412,R
412,SQL
413,Bash/Shell (all shells)
413,Go
413,HTML/CSS
413,JavaScript
413,Rust
413,SQL
413,TypeScript
414,Java
414,JavaScript
414,Kotlin
416,Java
416,JavaScript
416,Python
417,Bash/Shell (all shells)
417,Elixir
417,Rust
417,Zig
418,Rust
419,Bash/Shell (all shells)
419,Groovy
419,HTML/CSS
419,Java
419,JavaScript
419,PHP
419,Python
419,Rust
419,SQL
419,TypeScript
420,C#
420,HTML/CSS
420,JavaScript
420,SQL
421,Go
421,Python
422,HTML/CSS
422,JavaScript
422,PHP
422,TypeScript
423,Dart
423,Java
423,Kotlin
423,Swift
424,Bash/Shell (all shells)
424,C
424,Julia
424,Rust
424,TypeScript
425,Delphi
426,HTML/CSS
426,JavaScript
426,TypeScript
427,C++
427,Rust
428,Dart
428,Java
428,JavaScript
428,Kotlin
428,SQL
428,TypeScript
430,Bash/Shell (all shells)
430,HTML/CSS
430,JavaScript
430,PHP
430,SQL
431,C#
431,HTML/CSS
431,TypeScript
432,Bash/Shell (all shells)
432,C#
432,C++
432,Go
432,HTML/CSS
432,JavaScript
432,PowerShell
432,SQL
433,Go
433,SQL
434,C#
434,JavaScript
434,PowerShell
434,TypeScript
435,Python
435,Rust
436,C
436,C++
436,Rust
436,Zig
440,C++
440,HTML/CSS
440,JavaScript
440,Python
440,TypeScript
441,HTML/CSS
441,JavaScript
441,TypeScript
442,C
442,Clojure
442,Java
442,Julia
442,Python
442,R
442,Rust
442,SQL
443,C#
443,HTML/CSS
443,Java
443,JavaScript
443,Python
443,SQL
444,Bash/Shell (all shells)
444,F#
444,HTML/CSS
444,PowerShell
444,Rust
444,TypeScript
445,HTML/CSS
445,Java
445,JavaScript
445,Kotlin
445,SQL
446,Bash/Shell (all shells)
446,C#
446,Go
446,HTML/CSS
446,JavaScript
446,Python
446,SQL
447,Go
447,HTML/CSS
447,JavaScript
447,Rust
447,SQL
447,TypeScript
449,HTML/CSS
449,Java
449,JavaScript
449,TypeScript
450,Bash/Shell (all shells)
450,Dart
450,Go
450,HTML/CSS
450,JavaScript
450,Kotlin
450,Python
450,R
450,Rust
