ResponseId,LanguageHaveWorkedWith
167,TypeScript
167,Visual Basic (.Net)
168,HTML/CSS
168,JavaScript
168,Kotlin
168,Lua
168,MATLAB
168,PowerShell
168,Python
168,SQL
168,TypeScript
169,Assembly
169,C
169,C++
169,HTML/CSS
169,JavaScript
169,Objective-C
169,PHP
169,Python
169,SQL
170,Python
171,C
171,C++
171,HTML/CSS
171,Java
171,JavaScript
171,Kotlin
171,Python
171,SQL
171,TypeScript
172,Bash/Shell (all shells)
172,C#
172,Go
172,PowerShell
172,Python
172,SQL
173,HTML/CSS
173,JavaScript
173,PHP
173,TypeScript
174,HTML/CSS
174,JavaScript
175,Assembly
175,Bash/Shell (all shells)
175,C
175,Dart
175,Haskell
175,HTML/CSS
175,Java
175,JavaScript
175,Kotlin
175,Prolog
175,Python
175,SQL
175,TypeScript
176,C#
176,Go
176,Groovy
176,HTML/CSS
176,Java
176,JavaScript
176,SQL
177,C#
177,JavaScript
177,SQL
177,TypeScript
178,Assembly
178,C
178,C++
178,PowerShell
178,Python
178,SQL
179,Bash/Shell (all shells)
179,C#
179,Clojure
179,Lisp
179,Lua
179,Prolog
179,Python
180,Assembly
180,Bash/Shell (all shells)
180,C
180,Go
180,Haskell
180,OCaml
180,Python
180,Rust
180,SQL
180,TypeScript
181,Bash/Shell (all shells)
181,C++
181,HTML/CSS
181,Java
181,JavaScript
181,Prolog
181,Python
181,R
181,SQL
181,TypeScript
182,C#
182,HTML/CSS
182,JavaScript
182,PHP
182,PowerShell
182,SQL
183,C#
183,HTML/CSS
183,JavaScript
183,SQL
183,TypeScript
183,Visual Basic (.Net)
184,Bash/Shell (all shells)
184,C
184,Clojure
184,Dart
184,Lua
185,Bash/Shell (all shells)
185,HTML/CSS
185,JavaScript
185,Kotlin
185,Python
185,Rust
185,SQL
185,TypeScript
186,HTML/CSS
186,JavaScript
186,PHP
186,SQL
186,TypeScript
187,JavaScript
187,Python
187,SQL
188,Bash/Shell (all shells)
188,C
188,C#
188,C++
188,HTML/CSS
188,JavaScript
188,PowerShell
188,Python
188,Rust
188,SQL
188,TypeScript
189,Go
189,HTML/CSS
189,JavaScript
189,SQL
189,TypeScript
190,C#
190,HTML/CSS
190,JavaScript
190,PHP
190,SQL
190,TypeScript
190,Visual Basic (.Net)
191,C#
192,Go
192,HTML/CSS
192,Java
192,JavaScript
192,PowerShell
192,SQL
193,Bash/Shell (all shells)
193,C#
193,C++
193,HTML/CSS
193,Java
193,JavaScript
193,Python
193,SQL
193,TypeScript
194,Kotlin
194,Swift
195,C
195,C++
195,Python
196,Dart
196,HTML/CSS
196,Java
196,JavaScript
196,SQL
196,TypeScript
197,Bash/Shell (all shells)
197,C
197,C++
197,HTML/CSS
197,Java
197,JavaScript
197,Perl
197,PHP
197,PowerShell
197,Python
197,R
197,SQL
198,Assembly
198,Bash/Shell (all shells)
198,C
198,C#
198,C++
198,Python
198,Rust
199,Bash/Shell (all shells)
199,Dart
199,HTML/CSS
199,Java
199,JavaScript
199,SQL
200,HTML/CSS
200,Java
200,JavaScript
200,SQL
201,Python
202,C++
202,Java
202,JavaScript
202,Python
202,TypeScript
202,VBA
203,HTML/CSS
203,Java
203,JavaScript
203,PHP
204,Assembly
204,Bash/Shell (all shells)
204,C
204,Haskell
204,HTML/CSS
204,JavaScript
204,OCaml
204,Python
204,Rust
204,Scala
204,SQL
204,TypeScript
205,C#
205,HTML/CSS
205,JavaScript
205,Lua
205,PowerShell
205,SQL
205,TypeScript
205,VBA
205,Visual Basic (.Net)
206,R
206,SQL
206,VBA
207,Bash/Shell (all shells)
207,HTML/CSS
207,JavaScript
207,PHP
207,PowerShell
207,TypeScript
208,Bash/Shell (all shells)
208,Go
208,HTML/CSS
208,JavaScript
208,PowerShell
208,Python
208,SQL
208,TypeScript
209,JavaScript
209,PHP
209,Python
209,Rust
210,Bash/Shell (all shells)
210,C
210,C#
210,Go
210,HTML/CSS
210,JavaScript
210,Python
210,SQL
210,VBA
210,Visual Basic (.Net)
211,Bash/Shell (all shells)
211,JavaScript
211,Python
211,Rust
212,JavaScript
212,PHP
212,SQL
213,C
213,C++
213,PowerShell
213,Python
213,SQL
214,C#
214,HTML/CSS
214,JavaScript
214,PowerShell
214,SQL
214,TypeScript
215,C#
215,Go
215,JavaScript
215,PowerShell
215,TypeScript
216,C#
216,C++
216,F#
216,JavaScript
216,PowerShell
216,SQL
216,TypeScript
217,HTML/CSS
217,JavaScript
218,C#
218,HTML/CSS
218,JavaScript
218,SQL
218,TypeScript
219,C#
219,F#
220,C
220,C++
220,HTML/CSS
220,Java
220,JavaScript
220,Python
220,SQL
220,TypeScript
220,Visual Basic (.Net)
221,C
221,C++
221,Java
221,Kotlin
221,MATLAB
221,SQL
222,Bash/Shell (all shells)
222,C#
222,HTML/CSS
222,JavaScript
222,SQL
222,TypeScript
223,Bash/Shell (all shells)
223,HTML/CSS
223,JavaScript
223,Python
223,SQL
224,Bash/Shell (all shells)
224,Java
224,SQL
225,Swift
226,Bash/Shell (all shells)
226,Go
226,HTML/CSS
226,Rust
226,TypeScript
227,C#
227,HTML/CSS
228,Bash/Shell (all shells)
228,Groovy
228,HTML/CSS
228,Java
228,JavaScript
228,Python
228,SQL
229,Assembly
229,Bash/Shell (all shells)
229,C
229,C#
229,C++
229,Lua
229,Python
229,Rust
230,HTML/CSS
230,JavaScript
230,Ruby
230,SQL
230,TypeScript
231,Bash/Shell (all shells)
231,C
231,C++
231,HTML/CSS
231,PowerShell
231,Python
231,SQL
232,Python
232,R
233,C
233,C++
233,Groovy
233,Java
233,Julia
233,MATLAB
233,Python
233,SQL
234,Dart
234,JavaScript
235,Bash/Shell (all shells)
235,C
235,C++
235,Dart
235,Go
235,HTML/CSS
235,Java
235,JavaScript
235,SQL
235,TypeScript
236,Delphi
237,C++
237,Java
237,Python
238,C#
238,HTML/CSS
238,JavaScript
238,SQL
238,TypeScript
239,HTML/CSS
239,JavaScript
239,Ruby
239,SQL
240,C
240,C++
240,Dart
240,HTML/CSS
240,Java
240,PHP
240,Python
240,SQL
241,HTML/CSS
241,JavaScript
241,PHP
242,JavaScript
242,PHP
242,SQL
243,Bash/Shell (all shells)
243,C#
243,C++
243,HTML/CSS
243,Java
243,JavaScript
243,PHP
243,PowerShell
243,Python
243,SQL
243,TypeScript
244,Java
244,JavaScript
244,SQL
245,C
245,C++
245,Python
245,Rust
246,C#
246,Ruby
247,Assembly
247,Bash/Shell (all shells)
247,C
247,Java
247,MicroPython
247,PHP
247,Rust
248,Bash/Shell (all shells)
248,C++
248,HTML/CSS
248,JavaScript
248,PowerShell
248,Python
248,Ruby
248,SQL
248,TypeScript
249,C#
249,Java
249,JavaScript
249,Python
249,SQL
250,Bash/Shell (all shells)
250,C++
250,Python
251,C++
251,Go
251,Java
251,JavaScript
251,Kotlin
251,Objective-C
251,Python
251,SQL
251,Swift
252,Bash/Shell (all shells)
252,C
252,C++
252,MATLAB
252,Python
252,Rust
252,TypeScript
253,Bash/Shell (all shells)
253,Go
253,Java
253,JavaScript
253,Python
253,TypeScript
254,Assembly
254,C
254,C#
254,HTML/CSS
254,Java
254,JavaScript
254,MATLAB
254,PowerShell
254,SQL
254,TypeScript
254,Visual Basic (.Net)
255,Bash/Shell (all shells)
255,Groovy
255,HTML/CSS
255,Java
255,JavaScript
255,PHP
255,R
255,Rust
255,SQL
255,TypeScript
256,Bash/Shell (all shells)
256,Java
256,Python
256,SQL
257,Bash/Shell (all shells)
257,C#
257,C++
257,Java
257,JavaScript
257,PHP
257,Python
257,SQL
257,TypeScript
258,C#
258,C++
258,Go
258,Lua
258,Python
260,Objective-C
260,Swift
261,JavaScript
261,Python
261,SQL
261,TypeScript
262,HTML/CSS
262,JavaScript
262,TypeScript
263,C
263,C#
263,Dart
263,HTML/CSS
263,JavaScript
263,PHP
263,PowerShell
263,Python
263,Rust
263,SQL
263,TypeScript
264,HTML/CSS
264,JavaScript
264,Ruby
264,SQL
265,Bash/Shell (all shells)
265,Elixir
265,Go
265,Groovy
265,HTML/CSS
265,Java
265,JavaScript
265,Ruby
265,SQL
265,TypeScript
266,C
266,C#
266,Python
267,C#
267,Go
267,JavaScript
267,PHP
267,SQL
269,HTML/CSS
269,JavaScript
269,Lisp
269,Python
269,SQL
270,C#
270,C++
270,HTML/CSS
270,JavaScript
270,Python
270,VBA
270,Visual Basic (.Net)
271,Go
271,Rust
271,SQL
271,TypeScript
272,Groovy
272,Java
272,JavaScript
272,MATLAB
272,Python
273,JavaScript
273,SQL
273,TypeScript
274,C#
274,C++
274,Java
274,Lua
274,PowerShell
274,Python
274,SQL
275,JavaScript
275,Python
275,SQL
275,TypeScript
276,C#
276,JavaScript
276,PowerShell
276,SQL
276,TypeScript
277,Bash/Shell (all shells)
277,C
277,C#
277,C++
277,Dart
277,Go
277,HTML/CSS
277,Java
277,JavaScript
277,Kotlin
277,Lua
277,Python
277,Scala
278,C
278,C#
278,C++
278,GDScript
278,HTML/CSS
278,Java
278,JavaScript
278,Kotlin
278,Python
278,Rust
278,SQL
279,HTML/CSS
279,Java
279,JavaScript
279,Kotlin
279,TypeScript
280,Bash/Shell (all shells)
280,C#
280,HTML/CSS
280,Java
280,JavaScript
280,Kotlin
280,PowerShell
280,SQL
281,C#
281,HTML/CSS
281,JavaScript
281,PHP
281,Python
281,SQL
282,HTML/CSS
282,Java
282,JavaScript
283,Assembly
283,Bash/Shell (all shells)
283,C
283,C++
283,HTML/CSS
283,Java
283,JavaScript
283,Lua
283,Python
283,Rust
283,TypeScript
284,Bash/Shell (all shells)
284,C#
284,HTML/CSS
284,Java
284,JavaScript
284,Lua
284,PHP
284,Python
284,SQL
284,TypeScript
285,Bash/Shell (all shells)
285,HTML/CSS
285,JavaScript
285,Python
285,SQL
285,TypeScript
286,Go
286,JavaScript
287,Groovy
287,Java
287,Kotlin
287,PowerShell
288,Go
288,Rust
289,Bash/Shell (all shells)
289,C
289,C++
289,Cobol
289,Delphi
289,Go
289,Java
289,JavaScript
289,Lua
289,Perl
289,PHP
289,Python
289,SQL
290,Bash/Shell (all shells)
290,C#
290,Java
290,JavaScript
290,Python
290,Swift
291,C
291,C++
291,Objective-C
291,PHP
291,Python
291,Ruby
291,Swift
291,TypeScript
292,Go
292,JavaScript
292,PHP
292,PowerShell
292,Python
292,SQL
292,TypeScript
293,Bash/Shell (all shells)
294,JavaScript
295,HTML/CSS
295,JavaScript
295,PHP
296,C
296,HTML/CSS
296,Java
296,JavaScript
296,MATLAB
296,Python
297,Dart
297,JavaScript
297,Python
298,C++
299,Java
299,Python
300,C#
300,HTML/CSS
300,JavaScript
300,PHP
300,Python
300,SQL
301,C
301,Go
301,Ruby
302,Assembly
302,Bash/Shell (all shells)
302,C
302,C++
302,HTML/CSS
302,JavaScript
302,Lua
302,Objective-C
302,PHP
302,Ruby
302,SQL
302,Zig
303,HTML/CSS
303,JavaScript
303,Python
303,SQL
303,TypeScript
304,Bash/Shell (all shells)
304,Go
304,Groovy
304,Java
305,Assembly
305,Bash/Shell (all shells)
305,C
305,C++
306,Bash/Shell (all shells)
306,Java
306,JavaScript
307,Bash/Shell (all shells)
307,Haskell
307,Java
307,Python
307,R
307,SQL
308,Bash/Shell (all shells)
308,Python
309,Bash/Shell (all shells)
309,Objective-C
309,Perl
309,Swift
310,Bash/Shell (all shells)
310,C
310,C++
310,Java
310,Objective-C
310,Python
311,Go
311,JavaScript
311,Lua
311,PHP
311,SQL
312,HTML/CSS
312,Java
312,JavaScript
312,Python
312,SQL
313,Bash/Shell (all shells)
313,C++
313,JavaScript
313,Python
313,SQL
314,HTML/CSS
314,JavaScript
314,SQL
314,TypeScript
315,Bash/Shell (all shells)
315,HTML/CSS
315,JavaScript
315,SQL
315,TypeScript
316,C
316,C++
317,HTML/CSS
317,JavaScript
317,PHP
317,SQL
318,Go
318,JavaScript
318,Python
318,TypeScript
319,HTML/CSS
319,Java
319,TypeScript
320,Java
320,JavaScript
320,Rust
320,Scala
320,TypeScript
321,Bash/Shell (all shells)
321,Dart
321,Go
321,HTML/CSS
321,JavaScript
321,Lua
321,Nim
321,Python
321,Rust
321,TypeScript
322,JavaScript
322,Python
322,SQL
323,HTML/CSS
323,JavaScript
323,SQL
323,TypeScript
324,Go
324,HTML/CSS
324,JavaScript
324,TypeScript
325,HTML/CSS
325,JavaScript
325,PHP
325,SQL
325,TypeScript
326,Elixir
326,HTML/CSS
326,JavaScript
326,PHP
327,Apex
327,Java
327,JavaScript
327,SQL
328,Bash/Shell (all shells)
328,C#
328,Java
328,Python
328,SQL
329,Bash/Shell (all shells)
329,C
329,C++
329,HTML/CSS
329,JavaScript
329,PowerShell
329,Python
329,TypeScript
330,C++
330,HTML/CSS
330,JavaScript
330,TypeScript
331,Bash/Shell (all shells)
331,C#
331,HTML/CSS
331,JavaScript
331,Rust
331,SQL
331,TypeScript
332,C++
332,Java
332,MATLAB
332,Python
333,C#
333,Delphi
333,Go
333,SQL
334,C
334,C++
335,Bash/Shell (all shells)
335,C
335,C++
335,Go
335,Lua
335,Python
335,SQL
336,C#
336,HTML/CSS
336,JavaScript
336,PowerShell
336,Python
336,SQL
337,Bash/Shell (all shells)
337,HTML/CSS
337,Java
337,JavaScript
337,Python
337,SQL
338,Assembly
338,Bash/Shell (all shells)
338,C
338,HTML/CSS
338,JavaScript
338,PHP
338,PowerShell
338,SQL
339,HTML/CSS
339,JavaScript
339,Python
339,TypeScript
340,C
340,C++
340,Python
340,Rust
341,HTML/CSS
341,JavaScript
341,PHP
341,Python
341,SQL
341,TypeScript
342,Bash/Shell (all shells)
342,C
342,C++
342,Go
342,Groovy
342,HTML/CSS
342,Java
342,JavaScript
342,Kotlin
342,Lua
342,Perl
342,PowerShell
342,Python
342,Ruby
342,Rust
342,SQL
342,TypeScript
343,Dart
344,SQL
344,VBA
345,C#
345,Java
345,Python
345,Scala
345,SQL
346,Java
346,Lua
346,Python
346,Rust
346,SQL
347,C#
347,Java
347,JavaScript
347,Python
347,SQL
348,Java
348,SQL
349,C
349,C++
349,Dart
349,Go
349,Haskell
349,Lua
349,Zig
350,Bash/Shell (all shells)
350,Go
350,Python
350,SQL
351,Bash/Shell (all shells)
351,HTML/CSS
351,JavaScript
351,PHP
351,SQL
352,JavaScript
352,Solidity
352,TypeScript
353,C
353,C#
353,C++
353,HTML/CSS
353,JavaScript
353,PowerShell
353,Python
353,SQL
353,TypeScript
353,Visual Basic (.Net)
354,Bash/Shell (all shells)
354,Go
354,Java
354,JavaScript
354,Kotlin
354,Objective-C
354,Python
354,Swift
355,Bash/Shell (all shells)
355,Groovy
355,Java
355,JavaScript
355,Python
355,SQL
355,TypeScript
356,C#
356,HTML/CSS
356,JavaScript
356,Lua
356,Python
357,C
357,C#
357,C++
357,Dart
357,HTML/CSS
357,JavaScript
